fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1984,,,3,725,715,8,6,3,1744,1706,32,6,2405,2225,2390,2225,2320,1815,2265,2200,2780,2755,2555,4450,4450,4315,5,1,293,288,8,2150,2130,2055,1965,1960,1750,630,615,15,,,,,,,,,,,,,,,0.509814
1985,,,3,871,857,9,6,4,2148,2101,37,10,2465,2225,2450,2225,2435,1865,2340,2205,2935,2910,2515,4450,4450,4450,4.91,1,381,375,9,2265,2245,2175,2005,2005,1770,860,845,20,,,,,,,,,,,,,,,0.528431
1986,,,3,998,984,9,6,6,2491,2441,38,13,2495,2225,2480,2225,2505,1870,2300,2125,3000,2980,2600,4450,4450,4450,4.9,1,489,483,10,2345,2325,2420,2030,2025,1770,1145,1120,25,,,,,,,,,,,,,,,0.536539
1987,,,3,1077,1061,8,6,7,2704,2651,36,17,2510,2200,2500,2200,2500,1815,2255,2035,3070,3055,2645,4450,4450,4450,4.88,1,585,579,10,2385,2370,2480,2035,2030,1805,1395,1370,25,,,,,,,,,,,,,,,0.556903
1988,,,3,1142,1124,7,6,11,2907,2848,34,26,2545,2180,2535,2175,2575,1765,2340,2080,3115,3110,2660,4610,4575,5020,4.86,1,677,671,10,2420,2400,2470,2045,2040,1750,1635,1610,25,,,,,,,,,,,,,,,0.580705
1989,,,3,1203,1182,7,6,15,3115,3046,33,36,2590,2215,2575,2210,2700,1760,2475,2075,3170,3155,2740,4780,4745,5300,4.84,1,740,734,10,2440,2425,2610,2040,2035,1760,1805,1780,25,,,,,,,,,,,,,,,0.60299
1990,,,3,1247,1222,6,6,19,3299,3216,33,50,2645,2225,2630,2225,2815,1835,2590,2210,3220,3195,2735,5000,5000,5320,4.82,1,782,777,10,2465,2450,2570,2065,2055,1760,1930,1905,25,,,,,,,,,,,,,,,0.631967
1991,,,3,1286,1258,6,5,24,3582,3484,32,66,2785,2345,2770,2335,2760,2000,2795,2445,3400,3385,2740,5250,5250,5305,4.86,1,799,794,10,2540,2525,2570,2130,2120,1905,2030,2005,25,,,,,,,,,,,,,,,0.648323
1992,,,3,1310,1277,6,5,29,3862,3740,35,87,2945,2500,2930,2495,3080,2040,2955,2500,3655,3655,2750,5490,5460,5515,4.91,1,794,789,9,2700,2685,2775,2295,2290,1990,2145,2120,25,,,,,,,,,,,,,,,0.665147
1993,,,3,1343,1308,6,5,32,4282,4148,37,96,3185,2570,3170,2570,3370,2395,3055,2490,4025,4025,3660,6085,6045,6105,4.98,1,792,787,9,2955,2940,2930,2435,2430,2225,2340,2315,25,,,,,,,,,,,,,,,0.679709
1994,,,3,1417,1383,6,5,31,4828,4693,39,97,3410,2625,3395,2625,3680,2535,3115,2425,4385,4390,3875,6625,6595,7045,5.05,1,818,813,9,3105,3090,3475,2490,2485,2380,2540,2510,30,,,,,,,,,,,,,,,0.694281
